Datetime,Intervall [ms],A51_M1S_494 (Belegungen/Intervall),A51_M1S_494 (Verweilzeit/Intervall) [ms],A54_M4SL_506 (Belegungen/Intervall),A54_M4SL_506 (Verweilzeit/Intervall) [ms],A55_M3S_505 (Belegungen/Intervall),A55_M3S_505 (Verweilzeit/Intervall) [ms],D11 (Belegungen/Intervall),D11 (Verweilzeit/Intervall) [ms],D12 (Belegungen/Intervall),D12 (Verweilzeit/Intervall) [ms],D21 (Belegungen/Intervall),D21 (Verweilzeit/Intervall) [ms],Fiber_reserve (Belegungen/Intervall),Fiber_reserve (Verweilzeit/Intervall) [ms],H51_A74/M1S_493 (Belegungen/Intervall),H51_A74/M1S_493 (Verweilzeit/Intervall) [ms],H54_M3SL_1289 (Belegungen/Intervall),H54_M3SL_1289 (Verweilzeit/Intervall) [ms],H55_A30/M3S_504 (Belegungen/Intervall),H55_A30/M3S_504 (Verweilzeit/Intervall) [ms],LLB-Test (Belegungen/Intervall),LLB-Test (Verweilzeit/Intervall) [ms],Power_on (Belegungen/Intervall),Power_on (Verweilzeit/Intervall) [ms],Sync (Belegungen/Intervall),Sync (Verweilzeit/Intervall) [ms],foult (Belegungen/Intervall),foult (Verweilzeit/Intervall) [ms],Year,Month,Day,Hour
2021-06-02 00:00:00,3600000,4.0,3990.0,4.0,4000.0,8.0,7980.0,9.0,7350.0,21.0,17540.0,32.0,23210.0,0.0,0.0,4.0,3980.0,4.0,3990.0,8.0,7980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,0
2021-06-02 01:00:00,3600000,4.0,4000.0,0.0,0.0,0.0,0.0,3.0,2890.0,9.0,9220.0,11.0,7690.0,0.0,0.0,4.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,1
2021-06-02 02:00:00,3600000,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1540.0,8.0,6296.0,13.0,10330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,2
2021-06-02 03:00:00,3600000,0.0,0.0,0.0,0.0,2.0,2000.0,2.0,1450.0,3.0,1900.0,5.0,3980.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,3
2021-06-02 04:00:00,3600000,2.0,2000.0,0.0,0.0,3.0,3000.0,4.0,2430.0,13.0,8950.0,13.0,13690.0,0.0,0.0,2.0,2000.0,0.0,0.0,3.0,2990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,4
2021-06-02 05:00:00,3600000,8.0,7990.0,2.0,2000.0,14.0,14000.0,15.0,10930.0,25.0,20120.0,53.0,36170.0,0.0,0.0,8.0,7990.0,2.0,2000.0,13.0,12980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,5
2021-06-02 06:00:00,3600000,14.0,14000.0,4.0,4000.0,20.0,19990.0,36.0,28230.0,65.0,71250.0,115.0,161700.0,0.0,0.0,14.0,14000.0,4.0,4000.0,20.0,19980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,6
2021-06-02 07:00:00,3600000,16.0,16000.0,4.0,4000.0,22.0,22000.0,110.0,115223.0,184.0,300932.0,224.0,334607.0,0.0,0.0,16.0,15960.0,4.0,3990.0,22.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,7
2021-06-02 08:00:00,3600000,16.0,15980.0,7.0,6990.0,22.0,21990.0,123.0,158708.0,222.0,489475.0,245.0,587592.0,0.0,0.0,17.0,17000.0,7.0,6990.0,21.0,21055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,8
2021-06-02 09:00:00,3600000,17.0,16990.0,4.0,4000.0,20.0,20000.0,76.0,92498.0,184.0,431488.0,244.0,520850.0,0.0,0.0,16.0,15990.0,4.0,4000.0,20.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,9
